,Unnamed: 0,anho,ciclo,CodCarSec,Convocatoria,Anho,Semestre,Aprobado,AnhoFirma,PrimerPar,SegundoPar,AOT,Primer.Rec,SegundoRec,NotaFinal,id_anony
135202,685,2017,1,CIV-PLS13,1,2017,1,S,2017,22,19,0,0,0,1F-C-5,es_5958
135203,686,2017,1,CGF-PLS13,1,2017,1,S,2017,24,24,0,0,0,1F-C-5,es_5961
135204,687,2017,1,CIV-PLS13,1,2017,1,S,2016,0,0,0,0,0,2F-3,es_5302
135205,688,2017,1,ELE-PLS13,1,2017,1,S,2017,20,19,0,0,0,1F-C-4,es_5966
135206,689,2017,1,ELE-PLS13,1,2017,1,S,2017,16,29,0,0,0,1F-C-4,es_4436
135207,690,2017,1,CIV-PLS13,1,2017,1,S,2017,9,21,0,0,0,1F-C-2,es_5307
135208,691,2017,1,ELE-PLS13,1,2017,1,S,2017,16,23,0,0,0,1F-C-4,es_5309
135209,692,2017,1,ECA-PLS13,1,2017,1,S,2017,19,14,0,0,0,2F-C-3,es_5972
135210,693,2017,1,CIV-PLS13,1,2017,1,S,2017,18,21,0,0,0,1F-C-5,es_5974
135211,694,2017,1,ELE-PLS13,1,2017,1,S,2017,19,23,0,0,0,1F-C-4,es_5311
135212,695,2017,1,MEC-PLS13,1,2017,1,S,2017,21,20,0,0,0,1F-C-5,es_5979
135213,696,2017,1,IND-PLS13,1,2017,1,S,2016,22,2,0,0,0,"2F-C-1,3F-C-2",es_5316
135214,697,2017,1,CIV-PLS13,1,2017,1,S,2017,21,14,0,0,0,3F-C-2,es_4782
135215,698,2017,1,IND-PLS13,1,2017,1,S,2017,23,14,0,0,0,1F-C-5,es_5988
135216,699,2017,1,CIV-PLS13,1,2017,1,S,2017,24,14,0,0,0,1F-C-4,es_5991
135217,700,2017,1,ELE-PLS13,1,2017,1,S,2017,17,17,0,0,0,2F-C-2,es_5319
135218,701,2017,1,CIV-PLS13,1,2017,1,N,0,14,0,0,0,0,,es_4784
135219,702,2017,1,ELE-PLS13,1,2017,1,S,2017,19,18,0,0,0,1F-C-5,es_5323
135220,703,2017,1,ELE-PLS13,1,2017,1,S,2017,22,32,0,0,0,1F-C-5,es_6002
135221,704,2017,1,CIV-PLS13,1,2017,1,N,0,13,11,0,0,0,,es_5330
135222,705,2017,1,IND-PLS13,1,2017,1,S,2017,23,5,0,0,0,"2F-C-1,3F-C-3",es_5331
135223,706,2017,1,CIV-PLS13,1,2017,1,S,2017,22,14,0,0,0,1F-C-5,es_6006
135224,707,2017,1,MCT-PLS13,1,2017,1,S,2017,17,15,0,0,0,1F-C-4,es_6009
135225,708,2017,1,IND-PLS13,1,2017,1,S,2017,17,18,0,0,0,2F-C-2,es_6012
135226,709,2017,1,CIV-PLS13,1,2017,1,N,0,16,8,0,0,0,,es_5335
135227,710,2017,1,CIV-PLS13,1,2017,1,N,2016,0,0,0,0,0,,es_4792
135228,711,2017,1,CIV-PLS13,1,2017,1,S,2016,17,26,0,0,0,1F-C-3,es_5336
135229,712,2017,1,CIV-PLS13,1,2017,1,S,2017,21,25,0,0,0,1F-C-5,es_6015
135230,713,2017,1,ELE-PLS13,1,2017,1,S,2017,24,34,0,0,0,1F-C-5,es_4798
135231,714,2017,1,CIV-PLS13,1,2017,1,N,0,22,4,0,0,0,,es_5345
135232,715,2017,1,ELE-PLS13,1,2017,1,S,2017,19,21,0,0,0,1F-C-5,es_6026
135233,716,2017,1,CIV-PLS13,1,2017,1,S,2017,17,20,0,0,0,1F-C-2,es_6030
135234,717,2017,1,CIV-PLS13,1,2017,1,N,0,1,0,0,0,0,,es_4802
135235,718,2017,1,CIV-PLS13,1,2017,1,S,2017,20,15,0,0,0,1F-C-3,es_5348
135236,719,2017,1,CIV-PLS13,1,2017,1,S,2017,22,16,0,0,0,1F-C-3,es_6041
135237,720,2017,1,CIV-PLS13,1,2017,1,S,2017,23,28,0,0,0,1F-C-5,es_6043
135238,721,2017,1,CIV-PLS13,1,2017,1,S,2017,21,8,0,0,0,2F-C-4,es_6044
135239,722,2017,1,CIV-PLS13,1,2017,1,N,0,18,6,0,0,0,,es_6045
135240,723,2017,1,CIV-PLS13,1,2017,1,S,2017,20,19,0,0,0,2F-C-4,es_6048
135241,724,2017,1,IND-PLS13,1,2017,1,S,2017,15,11,0,0,0,3F-C-3,es_6049
135242,725,2017,1,CIV-PLS13,1,2017,1,S,2016,14,27,0,0,0,1F-C-4,es_4807
135243,726,2017,1,ECA-PLS13,1,2017,1,S,2017,21,30,0,0,0,1F-C-5,es_6056
135244,727,2017,1,CIV-PLS13,1,2017,1,S,2017,23,16,0,0,0,1F-C-4,es_6057
135245,728,2017,1,CIV-PLS13,1,2017,1,S,2017,22,12,0,0,0,2F-C-4,es_6058
135246,729,2017,1,MCT-PLS13,1,2017,1,N,2016,18,5,0,0,0,3F-C-1,es_5357
135247,730,2017,1,CIV-PLS13,1,2017,1,S,2017,20,25,0,0,0,1F-C-4,es_5359
135248,731,2017,1,ELE-PLS13,1,2017,1,N,2017,13,16,0,0,0,,es_6060
135249,732,2017,1,ELE-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_4809
135250,733,2017,1,CIV-PLS13,1,2017,1,S,2017,17,12,0,0,0,1F-C-2,es_5360
135251,734,2017,1,ELE-PLS13,1,2017,1,S,2017,24,5,0,0,0,1F-C-3,es_5362
135252,735,2017,1,CIV-PLS13,1,2017,1,S,2017,24,32,0,0,0,1F-C-5,es_6066
